Oradye	O-r-a-d-y-e
bous	b-ou-s
titan	t-i-t-an
refi	r-e-f-i
netwayè	n-e-t-w-a-y-è
garanti	g-a-r-an-t-i
gayak	g-a-y-a-k
chaj	ch-a-j
oftalmològ	o-f-t-a-l-m-o-l-ò-g
teknikman	t-e-k-n-i-k-m-an
Adoni	A-d-o-n-i
refwadisan	r-e-f-w-a-d-i-s-an
Misisipi	M-i-s-i-s-i-p-i
reprime	r-e-p-r-i-m-e
granchimen	g-r-an-ch-i-m-en
jèl	j-è-l
ekaliptis	e-k-a-l-i-p-t-i-s
kandidat	k-an-d-i-d-a-t
olandè	o-l-an-d-è
Parezon	P-a-r-e-z-on
Okoto	O-k-o-t-o
negatif	n-e-g-a-t-i-f
Jenèz	J-e-n-è-z
ematolojik	e-m-a-t-o-l-o-j-i-k
Medikè	M-e-d-i-k-è
seramik	s-e-r-a-m-i-k
sodomize	s-o-d-o-m-i-z-e
Ravinsèk	R-a-v-i-n-s-è-k
ene	e-n-e
karavàn	k-a-r-a-v-à-n
tiwèl	t-i-w-è-l
tramadol	t-r-a-m-a-d-o-l
neglijan	n-e-g-l-i-j-an
atmosferik	a-t-m-o-s-f-e-r-i-k
Woudi	W-ou-d-i
bwonchit	b-w-on-ch-i-t
desantre	d-e-s-an-t-r-e
retade	r-e-t-a-d-e
koukouwouj	k-ou-k-ou-w-ou-j
lazè	l-a-z-è
Merilyen	M-e-r-i-l-y-en
vòlkanik	v-ò-l-k-a-n-i-k
Bradenton	B-r-a-d-en-t-on
Bèlans	B-è-l-an-s
mitrayèt	m-i-t-r-a-y-è-t
lokasyon	l-o-k-a-s-y-on
manyetik	m-an-y-e-t-i-k
bonbe	b-on-b-e
apantaj	a-p-an-t-a-j
osijè	o-s-i-j-è
konstitisyonal	k-on-s-t-i-t-i-s-y-o-n-a-l
pi	p-i
nominan	n-o-m-i-n-an
kolorye	k-o-l-o-r-y-e
eksklizyon	e-k-s-k-l-i-z-y-on
Vèdye	V-è-d-y-e
sikile	s-i-k-i-l-e
ekitab	e-k-i-t-a-b
dijestif	d-i-j-e-s-t-i-f
iminize	i-m-i-n-i-z-e
tchaka	t-ch-a-k-a
siz	s-i-z
tòtòt	t-ò-t-ò-t
byografi	b-y-o-g-r-a-f-i
abriko	a-b-r-i-k-o
negasyon	n-e-g-a-s-y-on
kòve	k-ò-v-e
flanbe	f-l-an-b-e
kizinyè	k-i-z-i-n-y-è
inifòm	i-n-i-f-ò-m
krake	k-r-a-k-e
dèmilyon	d-è-m-i-l-y-on
Kanado	K-a-n-a-d-o
siplemantè	s-i-p-l-e-m-an-t-è
kreye	k-r-e-y-e
Bangi	B-an-g-i
konekte	k-o-n-e-k-t-e
Makpela	M-a-k-p-e-l-a
Madlèn	M-a-d-l-è-n
eko	e-k-o
Pitèsonn	P-i-t-è-s-on-n
tras	t-r-a-s
refize	r-e-f-i-z-e
tchovi	t-ch-o-v-i
sezon	s-e-z-on
raplanche	r-a-p-l-an-ch-e
gazon	g-a-z-on
Jil	J-i-l
souye	s-ou-y-e
sitiyason	s-i-t-i-y-a-s-on
varyab	v-a-r-y-a-b
venntwazyèm	v-en-n-t-w-a-z-y-è-m
kivèt	k-i-v-è-t
livre	l-i-v-r-e
goute	g-ou-t-e
mawon	m-a-w-on
Olivya	O-l-i-v-y-a
ijan	i-j-an
adiksyon	a-d-i-k-s-y-on
potaj	p-o-t-a-j
administre	a-d-m-i-n-i-s-t-r-e
prefere	p-r-e-f-e-r-e
pann	p-an-n
jijdepè	j-i-j-d-e-p-è
